video_id,title,description,published_at,channel_name,view_count
dFlDRhvM4L0,『チェンソーマン』ノンクレジットオープニング / CHAINSAW MAN  Opening│米津玄師 「KICK BACK」,"オープニング・テーマ
米津玄師　「KICK BACK」 Kenshi Yonezu – KICK BACK
作詞・作曲　米津玄師
　　　編曲　米津玄師　常田大希 (King Gnu / millennium parade)
Contains a sample of ""そうだ！We're ALIVE""　作詞・作曲　つんく
©2002 by UP FRONT MUSIC INC. / TV TOKYO Music, Inc.
(Sony Music Labels Inc.)

Listen here：https://smej.lnk.to/KICKBACK

2022年10月11日(火)24:00より テレビ東京他にて放送開始
2022年10月11日(火)25:00よりPrime Videoにて最速配信
2022年10月12日(水)25:00より各プラットフォームにて見逃し配信

漫画第二部「少年ジャンプ＋」にて連載中！


▶イントロダクション
『チェンソーの悪魔』ポチタと共にデビルハンターとして暮らす少年デンジ。
親が遺した借金返済のため、貧乏な生活を送る中、
裏切りに遭い殺されてしまう。薄れる意識の中、デンジはポチタと契約し、
悪魔の心臓 を持つもの 『 チェンソーマン 』として蘇る ── 。


【スタッフ】
原作：藤本タツキ（集英社「少年ジャンプ＋」連載）
監督：中山 竜
脚本：瀬古浩司
キャラクターデザイン：杉山和隆
アクションディレクター：吉原達矢
チーフ演出：中園真登
悪魔デザイン：押山清高
美術監督：竹田悠介
色彩設計：中野尚美
撮影監修：宮原洋平
音楽：牛尾憲輔

オープニング・テーマ：米津玄師「KICK BACK」
挿入歌：マキシマム ザ ホルモン「刃渡り2億センチ」
エンディング・テーマ：
ano「ちゅ、多様性。」
Eve「ファイトソング」
Aimer「Deep down」
Kanaria「大脳的なランデブー」
syudou「インザバックルーム」
女王蜂「バイオレンス」
ずっと真夜中でいいのに。「残機」
TK from 凛として時雨「first death」
TOOBOE「錠剤」
Vaundy「CHAINSAW BLOOD」
PEOPLE 1「DOGLAND」
マキシマム ザ ホルモン「刃渡り2億センチ」

アニメーションプロデューサー　瀬下恵介
制作　MAPPA
 
【キャスト】
デンジ：戸谷菊之介
ポチタ：井澤詩織 
マキマ：楠木ともり
早川アキ：坂田将吾
パワー：ファイルーズあい
姫野：伊瀬茉莉也
東山コベニ：高橋花林
荒井ヒロカズ：八代 拓
岸辺：津田健次郎
天使の悪魔： 内田真礼
サメの魔人：花江夏樹
暴力の魔人：内田夕夜
蜘蛛の悪魔：後藤沙緒里
沢渡アカネ：大地葉
サムライソード：濱野大輝

#chainsawman 
#mappa 
#チェンソーマン",2022-10-11T15:30:01Z,MAPPA CHANNEL,176720906
5yb2N3pnztU,TVアニメ『呪術廻戦』第2期「渋谷事変」ノンクレジットOPムービー／OPテーマ：King Gnu「SPECIALZ」｜毎週木曜夜11時56分～MBS/TBS系列全国28局にて放送中!!,"TVアニメ『呪術廻戦』「懐玉・玉折／渋谷事変」
毎週木曜夜11時56分～MBS/TBS系列全国28局にて放送中!!

「渋谷事変」OPテーマ：King Gnu「SPECIALZ」
Listen＆DL：http://kinggnu.lnk.to/atXyso
-----------------------------------------------
【イントロダクション】

集英社「週刊少年ジャンプ」で連載中の、
芥見下々による漫画作品『呪術廻戦』。
2018年3月から連載が開始され、人間の負の感情から
生まれる呪いと、それを呪術で祓う呪術師との闘いを描き、
既刊23巻にしてシリーズ累計発行部数は
驚異の8,000万部を突破。

2020年10月から2021年3月までは毎日放送・TBS系列にて
TVアニメ第1期が放送され、国内のみならず全世界で
大きな反響を呼んだ。
さらに同年12月24日、第1期の前日譚にあたる物語が描かれる
『劇場版 呪術廻戦 0』を上映し、全世界で一大ムーブメントを巻き起こした。

そして、2023年に放送が決定している第2期で描かれるのは、
五条 悟と夏油 傑の高専時代の物語「懐玉・玉折」。
劇場版にて示唆された五条と夏油の決別した過去がついに明らかとなる。

さらに、連続2クール内にて「懐玉・玉折」の後、
第1期から続く時間軸の物語「渋谷事変」も描かれることが決定。
10月31日、ハロウィンで賑わう渋谷駅周辺に
突如“帳”が下ろされ大勢の一般人が閉じ込められる。
単独で渋谷平定へと向かう五条だが、
これは夏油や真人ら呪詛師・呪霊達による罠だった…。
虎杖、伏黒、釘崎といった高専生のメンバーや
呪術師たちも渋谷に集結し、かつてない大規模な戦闘が始まろうしていた。

呪いを廻る壮絶な物語が再び廻りだすー

-----------------------------------------------
【ストーリー】

最後に笑うのは、人か―呪いか―

「五条 悟は 然るべき時 然るべき場所
こちらのアドバンテージを確立した上で封印に臨む
決行は10月31日 渋谷」

2018年10月、特級呪霊による交流会の襲撃以降呪術高専内の緊張が高まる中、
ついに内通者の正体が判明する。
果たして内通者は誰なのか、その目的とは―!?

そして、2018年10月31日。
ハロウィンで賑わう渋谷駅周辺に突如“帳”が降ろされ大勢の一般人が閉じ込められる。
“一般人のみが閉じ込められる帳”という高度な結界術に加え、
一般人を介して告げられた「五条 悟を連れてこい」という指名から、
上層部は被害を最小限に抑えるために五条単独での渋谷平定を決定する。

罠を仕掛け待ち構える夏油や真人ら呪詛師・呪霊達、そこに単独で乗り込む五条、
さらには“帳”の外側に集結した虎杖、伏黒、釘崎、七海、そして数多くの呪術師たち。

渋谷に集結した呪術師VS.呪詛師・呪霊の
かつてない大規模な呪い合いがついに始まる―!!

-----------------------------------------------
【CAST】

虎杖悠仁：榎木淳弥　
伏黒 恵：内田雄馬
釘崎野薔薇：瀬戸麻沙美
五条 悟：中村悠一
真人：島﨑信長
夏油 傑：櫻井孝宏
両面宿儺：諏訪部順一

-----------------------------------------------
【STAFF】

原作：「呪術廻戦」芥見下々（集英社「週刊少年ジャンプ」連載）
監督：御所園翔太
シリーズ構成・脚本：瀬古浩司
キャラクターデザイン：平松禎史・小磯沙矢香
副監督：愛敬亮太
美術監督：東 潤一
色彩設計：松島英子
CGIプロデューサー：淡輪雄介
3DCGディレクター：石川大輔（モンスターズエッグ）　　
撮影監督：伊藤哲平
編集：柳 圭介
音楽：照井順政
音響監督：えびなやすのり
音響制作：dugout
制作：MAPPA

オープニングテーマ：King Gnu「SPECIALZ」（Sony Music Labels）
エンディングテーマ：羊文学「more than words」(F.C.L.S.／Sony Music Labels)
-----------------------------------------------
TVアニメHP   ：https://jujutsukaisen.jp/
公式Twitter     ：https://twitter.com/animejujutsu

©芥見下々／集英社・呪術廻戦製作委員会
-----------------------------------------------
TOHO animation
公式Twitter：https://twitter.com/TOHOanimation
10周年記念特設サイト：https://tohoanimation.jp/10thanniversary
ポータルサイト：https://tohoanimation.jp/portal/
-----------------------------------------------
TOHO animation STORE
通販サイト ：https://tohoanimationstore.com/shop/
公式Twitter：https://twitter.com/TOHOanimeSTORE
-----------------------------------------------
#呪術廻戦 #渋谷事変 #週刊少年ジャンプ #呪術2期",2023-08-31T15:23:49Z,TOHO animation チャンネル,159913355
gcgKUcJKxIs,TVアニメ『呪術廻戦』第2期「懐玉・玉折」ノンクレジットOPムービー／OPテーマ：キタニタツヤ「青のすみか」｜毎週木曜夜11時56分～MBS/TBS系列全国28局にて放送中!!,"TVアニメ『呪術廻戦』「懐玉・玉折／渋谷事変」
毎週木曜夜11時56分～MBS/TBS系列全国28局にて放送中!!

「懐玉・玉折」OPテーマ：キタニタツヤ「青のすみか」
Listen＆DL：https://Tatsuya-Kitani.lnk.to/XWKpO9MD
-----------------------------------------------
【イントロダクション】

集英社「週刊少年ジャンプ」で連載中の、
芥見下々による漫画作品『呪術廻戦』。
2018年3月から連載が開始され、人間の負の感情から
生まれる呪いと、それを呪術で祓う呪術師との闘いを描き、
既刊23巻にしてシリーズ累計発行部数は
驚異の8,000万部を突破。

2020年10月から2021年3月までは毎日放送・TBS系列にて
TVアニメ第1期が放送され、国内のみならず全世界で
大きな反響を呼んだ。
さらに同年12月24日、第1期の前日譚にあたる物語が描かれる
『劇場版 呪術廻戦 0』を上映し、全世界で一大ムーブメントを巻き起こした。

そして、2023年に放送が決定している第2期で描かれるのは、
五条 悟と夏油 傑の高専時代の物語「懐玉・玉折」。
劇場版にて示唆された五条と夏油の決別した過去がついに明らかとなる。

さらに、連続2クール内にて「懐玉・玉折」の後、
第1期から続く時間軸の物語「渋谷事変」も描かれることが決定。
10月31日、ハロウィンで賑わう渋谷駅周辺に
突如“帳”が下ろされ大勢の一般人が閉じ込められる。
単独で渋谷平定へと向かう五条だが、
これは夏油や真人ら呪詛師・呪霊達による罠だった…。
虎杖、伏黒、釘崎といった高専生のメンバーや
呪術師たちも渋谷に集結し、かつてない大規模な戦闘が始まろうしていた。

呪いを廻る壮絶な物語が再び廻りだすー
-----------------------------------------------
【ストーリー】

最強の 2 人　戻れない青い春

2018 年 6 月、両面宿儺を己の身に宿した虎杖悠仁。
2017 年 12 月、祈本里香の呪いを解いた乙骨憂太。

そして更に時は遡り 2006 年（春）—。高専時代の五条 悟と夏油 傑。
呪術師として活躍し、向かうところ敵のない 2 人の元に、不死の術式を持つ
呪術界の要・天元からの依頼が届く。
依頼は 2 つ。天元との適合者である“星漿体(せいしょうたい)” 天内理子、
その少女の「護衛」と「抹消」。
呪術界存続の為の護衛任務へと赴くことになった 2 人だが、
そこに伏黒を名乗る“術師殺し”が“星漿体”の暗殺を狙い介入する...。

後に最強の呪術師と最悪の呪詛師と呼ばれる五条と夏油、
道を違えた 2 人の過去が明かされる—。

-----------------------------------------------
【CAST】

五条 悟：中村悠一　夏油 傑：櫻井孝宏
家入硝子：遠藤 綾
天内理子：永瀬アンナ
伏黒甚爾：子安武人
-----------------------------------------------
【STAFF】

原作：「呪術廻戦」芥見下々（集英社「週刊少年ジャンプ」連載）
監督：御所園翔太
シリーズ構成・脚本：瀬古浩司
キャラクターデザイン：平松禎史・小磯沙矢香
副監督：愛敬亮太
美術監督：東 潤一
色彩設計：松島英子
CGIプロデューサー：淡輪雄介
3DCGディレクター：石川大輔（モンスターズエッグ）　　
撮影監督：伊藤哲平
編集：柳 圭介
音楽：照井順政
音響監督：えびなやすのり
音響制作：dugout
制作：MAPPA

オープニングテーマ：キタニタツヤ「青のすみか」（Sony Music Labels）
エンディングテーマ：崎山蒼志「燈」（Sony Music Labels）

-----------------------------------------------
TVアニメHP   ：https://jujutsukaisen.jp/
公式Twitter     ：https://twitter.com/animejujutsu

©芥見下々／集英社・呪術廻戦製作委員会
-----------------------------------------------
TOHO animation
公式Twitter：https://twitter.com/TOHOanimation
10周年記念特設サイト：https://tohoanimation.jp/10thanniversary
ポータルサイト：https://tohoanimation.jp/portal/
-----------------------------------------------
TOHO animation STORE
通販サイト ：https://tohoanimationstore.com/shop/
公式Twitter：https://twitter.com/TOHOanimeSTORE
-----------------------------------------------
#呪術廻戦 #懐玉玉折 #週刊少年ジャンプ #呪術2期",2023-07-06T15:23:38Z,TOHO animation チャンネル,145188622
210R0ozmLwg,TVアニメ「マッシュル-MASHLE-」第2期ノンクレジットOPムービー｜Creepy Nuts「Bling-Bang-Bang-Born」#BBBBダンス,"#BBBBダンス
TVアニメ「マッシュル-MASHLE- 神覚者候補選抜試験編」各配信サイトで配信中！

◆オープニングテーマ
Creepy Nuts「Bling-Bang-Bang-Born」
作詞：R-指定
作曲：DJ松永

「Bling-Bang-Bang-Born」
Streaming/Download：https://smar.lnk.to/0AM0sn

【Creepy Nuts アカウント情報】
■Creepy Nuts オフィシャルサイト：http://creepynuts.com/
■Creepy Nuts YouTube：https://www.youtube.com/channel/UCEc1YzMOSKKtJD7H-q71HgQ
■X：
Creepy Nuts︓ https://twitter.com/Creepy_Nuts_
DJ 松永︓ https://twitter.com/djmatsunaga
■Instagram ID：Creepy Nuts ＠creepynuts_official DJ 松永 ＠dj_matsunaga
■LINE ID：@creepynuts
■TikTok：https://www.tiktok.com/@creepy_nuts_
■Facebook：https://www.facebook.com/CreepyNuts

=====
Creepy Nuts
初の東京ドーム公演決定！
「LIVE at TOKYO DOME」
開催日：2025年2月11日(火・祝)
時間：開場 16:00 / 開演 18:00
会場：東京ドーム
https://creepynuts.com/schedule/detail/?d=2025-02-11&c=live&i=1
=====

■TVアニメ公式サイト：https://mashle.pw/
■公式X：@mashle_official   / https://twitter.com/mashle_official
■公式TikTok：@mashle_official   / https://www.tiktok.com/@mashle_official  
■第2期本PV：https://youtu.be/CBHcxP8vGmg

■推奨ハッシュタグ：#マッシュル

■配信情報
▼2024年1月6日（土）23:30~
ABEMA、dアニメストア、dアニメストア　for Prime Video

▼2024年1月9日（火）12:00~
バンダイチャンネル、DMMTV、FOD、Hulu、Prime Video、U-NEXT、アニメ放題、TELASA、J:COMオンデマンド、auスマートパスプレミアム、milplus見放題パックプライム、Neflix、WOWOWオンデマンド、アニメタイムズ、ニコニコチャンネルほか各配信プラットフォームにて配信開始予定！ 
※配信日時は変更となる場合があります

■スタッフ
原作：甲本 一（集英社 ジャンプコミックス刊）
監督：田中智也
シリーズ構成：黒田洋介
キャラクターデザイン：東島久志
サブキャラクターデザイン：久松沙紀・後藤 望・戸谷賢都
プロップデザイン：髙瀬さやか・三腰航平・吉川由華
アクションディレクター：松田剛吏・斎藤亮太
色彩設計：武田仁基
美術設定：成田偉保
美術監督：伊藤友沙
撮影監督：鈴木彬人
CG監督：福田大輔
編集：吉武将人
音楽：横山 克
音響監督：本山 哲
音響効果：安藤由衣
音響制作：INSPIONエッジ
制作：A-1 Pictures

■キャスト
マッシュ・バーンデッド：小林千晃
フィン・エイムズ：川島零士
ランス・クラウン：石川界人
ドット・バレット：江口拓也
レモン・アーヴィン：上田麗奈
ナレーション：平田広明
ライオ・グランツ：諏訪部順一
オーター・マドル：小野友樹
カルド・ゲヘナ：島﨑信長
レイン・エイムズ：梶裕貴
マーガレット・マカロン：子安武人
カルパッチョ・ローヤン：内山昂輝
ウォールバーグ・バイガン：麦人
無邪気な淵源（ルビ：イノセント・ゼロ）：三木眞一郎
セル・ウォー：花江夏樹

■第2期主題歌
オープニングテーマ：Creepy Nuts「Bling-Bang-Bang-Born」
エンディングテーマ：私立恵比寿中学「トーキョーズ・ウェイ！」

■イントロダクション
週刊少年ジャンプ(集英社刊)にて連載し、2023年7月に完結した全世界発行部数600万部を突破している、甲本一による大人気コミック「マッシュル-MASHLE-」。
魔法界を舞台に繰り広げられる個性豊かなキャラクターたちの友情や戦いとシュールなギャグによって生まれるギャップに話題沸騰、日本をはじめ、世界各国・地域でも人気を呼んでいる。
2023年4月にはTVアニメ第1期が放送されたほか、小説版・舞台化といった数々のメディアミックス展開がなされている。
そんな筋肉×魔法の独特な世界観が繰り広げるアブノーマル魔法ファンタジーのTVアニメ第2期が、2024年1月に放送決定!!

■ストーリー
ここは、魔法界。
ここは、魔法が当然のものとして使用される世界。
そんな魔法界の魔法学校に通う、マッシュ・バーンデッド──。
家族との平穏な暮らしを守るため、魔法が使えないという事実を隠し、トップである「神覚者」を目指すことに。
彼の鍛え抜かれた筋肉で、精鋭の魔法使いたちをも凌駕し「神覚者候補選抜試験」に臨む。
鍛え抜かれたパワーがすべての魔法を粉砕する、アブノーマル魔法ファンタジー、第2章開幕──!!

©甲本 一／集英社・マッシュル製作委員会

#マッシュル #mashle",2024-01-06T15:00:04Z,アニプレックス チャンネル,132288841
CaqHOvgAnO0,アンパンマンたいそう （テレビサイズver.）［公式エンディングテーマ］,"アンパンマンたいそう（アニメ『それいけ！アンパンマン』エンディングテーマ）
作詞：やなせたかし、魚住勉　作曲：馬飼野康ニ　編曲：近藤浩章
うた：ドリーミング

★最新ＣＤには、テレビでおなじみの人気ソングが２０曲も！
ＣＤ＆配信 https://vap.lnk.to/anpanman_besthit_24

★アニメのオープニング・エンディング映像はここでチェック！
　
　https://youtu.be/5mLape5F0Fw

　https://youtu.be/STZ9rOXCJEY

　https://youtu.be/y6lqPw8T9G4

　https://youtu.be/GUTHk7IjI6A

字幕をONにすると歌詞が表示されます。
 (Turn on subtitles, lyrics are displayed.)
(點選開啟字幕, 即可顯示歌詞)

★最新ＣＤ＆ＤＶＤをご紹介♪
　https://www.vap.co.jp/anpan/

★アニメ公式YouTubeチャンネル
　https://www.youtube.com/channel/UCfdaUfp87XteaYEoQhljKXQ

★アニメ番組公式サイト
　https://www.ntv.co.jp/anpanman/

★TikTok  https://www.tiktok.com/@anpanman_animeofficial

©やなせたかし／フレーベル館・TMS・NTV
#アンパンマン​ #アンパンマンたいそう ​ #ばいきんまん​ #しょくぱんまん​ #カレーパンマン",2023-03-24T01:00:04Z,VAP OFFICIAL MUSIC CHANNEL,115416590
y6lqPw8T9G4,サンサンたいそう （テレビサイズver.）［公式エンディングテーマ］,"サンサンたいそう（アニメ『それいけ！アンパンマン』エンディングテーマ）
作詞：やなせたかし　作曲：近藤浩章　編曲：近藤浩章
うた：ドリーミング

★最新ＣＤには、テレビでおなじみの人気ソングが２０曲も！
ＣＤ＆配信 https://vap.lnk.to/anpanman_besthit_24

★アニメのオープニング・エンディング映像はここでチェック！
　
　https://youtu.be/5mLape5F0Fw

　https://youtu.be/STZ9rOXCJEY

　https://youtu.be/CaqHOvgAnO0

　https://youtu.be/GUTHk7IjI6A

字幕をONにすると歌詞が表示されます。
 (Turn on subtitles, lyrics are displayed.)
(點選開啟字幕, 即可顯示歌詞)

★最新ＣＤ＆ＤＶＤをご紹介♪
　https://www.vap.co.jp/anpan/

★アニメ公式YouTubeチャンネル
　https://www.youtube.com/channel/UCfdaUfp87XteaYEoQhljKXQ

★アニメ番組公式サイト
　https://www.ntv.co.jp/anpanman/

★TikTok  https://www.tiktok.com/@anpanman_animeofficial

©やなせたかし／フレーベル館・TMS・NTV
#アンパンマン​ #サンサンたいそう ​ #ばいきんまん​ #しょくぱんまん​ #カレーパンマン",2023-03-24T01:00:20Z,VAP OFFICIAL MUSIC CHANNEL,93540545
2S4qGKmzBJE,TVアニメ「進撃の巨人」The Final Season Part 2ノンクレジットOP ｜SiM「The Rumbling」,"TVアニメ「進撃の巨人」The Final Season Part 2ノンクレジットオープニング映像を特別公開！

🎶Opening Theme
SiM「The Rumbling」
Words: MAH
Music & Arrangement: SiM

🎧Full Size 2022.02.07 Digital Release
https://lnk.to/therumbling_full

🎧TV size Streaming
https://lnk.to/therumbling_tvsize
ーーーーーーーーーーーーーーーーーーー
The Rumbling (TV size)  Lyrics

Rumbling, Rumbling, it's coming
Rumbling, Rumbling

Beware

coming for you

all I ever wanted to do was do right things
I never wanted to be the king, I swear
all I ever wanted to do was save your life
I never wanted to grab a knife, I swear

tearless, fearless, burning, burning

you tell me what have I missed
still wandering in the deep mist

if I lose it all, slip and fall
I will never look away
if I lose it all, lose it all, lose it all
if I lose it all outside the wall
live to die another day
I don't want anything
I'm just here to...

Beware

Rumbling, Rumbling, it's coming
Rumbling, Rumbling
ーーーーーーーーーーーーーーーーーーー
The Rumbling (TV size)  歌詞 [日本語訳]

地鳴らしがやって来る

覚悟するんだ

俺は進み続ける

正しいことをしたいと願っただけだ
王になろうなどと思ったことは一度もなかった　誓うよ
ただ、お前を守りたかっただけだ
自らナイフを握りたいと思ったことは一度もなかった　誓うよ

涙は枯れた　恐怖もない　燃やせ　燃やせ

お前が教えてくれよ
俺は何を見落としたんだ？
今も 霧の中を彷徨っている

例え全てを失って倒れたとしても
俺は目を背けない
全てを奪われ、失い、空っぽになったとしても
例えこの壁の外で全てを失っても
成し遂げなければならないことがあるんだ
欲しいものなど何もない
俺が此処に居る理由は...

覚悟するんだ

地鳴らしがやって来る
ーーーーーーーーーーーーーーーーーーー
TVアニメ「進撃の巨人」The Final Season Part 2
●NHK総合にて、2022年1月9日(日)24:05～放送開始！
●dTV、dアニメストア、GYAO!、Netflix、TELASA、ひかりTV、U-NEXT、Amazon Prime Videoにて、2022年1月10日(月) 12:00～配信開始！

Attack on Titan Final Season Part 2 Confirmed to Air from January 9th (JST)
ーーーーーーーーーーーーーーーーーーー
進撃の巨人 / Attack on Titan
Website https://shingeki.tv/final/
Twitter https://twitter.com/anime_shingeki
Instagram https://www.instagram.com/anime_shingeki_official/
TikTok https://www.tiktok.com/@shingeki_anime_official?

SiM
Website https://sxixm.com/
Music https://lnk.to/_SiM
Facebook https://www.facebook.com/SiMfromJapan
YouTube https://www.youtube.com/channel/UCcrvP_Z93Zts_Xd7UGKH2CQ
Twitter https://twitter.com/SiM_Official
Instagram https://www.instagram.com/sim_japan/

©諫山創・講談社／「進撃の巨人」The Final Season製作委員会
#進撃の巨人 #AttackonTitan #AOT",2022-01-09T15:30:00Z,ぽにきゃん-Anime PONY CANYON,79195618
v8bZVdTgXoY,TVアニメ『呪術廻戦』ノンクレジットOPムービー／OPテーマ：Eve「廻廻奇譚」,"TVアニメ『呪術廻戦』
毎週金曜日深夜1時25分から、
MBS/TBS系全国28局ネット、“スーパーアニメイズム”枠にて放送中‼

OPテーマ：Eve「廻廻奇譚」
Listen＆DL： https://tf.lnk.to/kaikaikitan

【歌詞】
アーティスト：Eve
作詞・作曲：Eve
編曲：Numa

有象無象 人の成り
虚勢 心象 人外 物の怪みたいだ

虚心坦懐 命宿し
あとはぱっぱらぱな中身なき人間

寄せる期待 不平等な人生
才能もない 大乗 非日常が　

怨親平等に没個性
辿る記憶 僕に
居場所などないから

夢の狭間で泣いてないで
どんな顔すればいいか わかってる
だけどまだ応えてくれよ

闇を祓って 闇を祓って
夜の帳が下りたら合図だ
相対して 廻る環状戦
戯言などは 吐き捨ていけと

まだ止めないで まだ止めないで
誰よりも聡く在る 街に生まれしこの正体を
今はただ呪い呪われた僕の未来を創造して
走って 転んで 消えない痛み抱いては
世界が待ってる この一瞬を

【イントロダクション】
少年は戦う――　「正しい死」を求めて

辛酸・後悔・恥辱
人間が生む負の感情は呪いと化し日常に潜む
呪いは世に蔓延る禍源であり、最悪の場合、人間を死へと導く

そして、呪いは呪いでしか祓えない

驚異的な身体能力を持つ、少年・虎杖悠仁はごく普通の高校生活を送っていたが、ある日“呪い”に襲われた仲間を救うため、特級呪物“両面宿儺の指”を喰らい、己の魂に呪いを宿してしまう

呪いである“両面宿儺”と肉体を共有することとなった虎杖は、
最強の呪術師である五条 悟の案内で、対呪い専門機関である「東京都立呪術高等専門学校」へと編入することになり……

呪いを祓うべく呪いとなった少年の後戻りのできない、壮絶な物語が廻りだす―

【STAFF】
原作：芥見下々（集英社「週刊少年ジャンプ」連載）
監督：朴 性厚
シリーズ構成・脚本：瀬古浩司
キャラクターデザイン：平松禎史
副監督：梅本 唯
美術監督：金 廷連
色彩設計：鎌田千賀子
CGIプロデューサー：淡輪雄介
3DCGディレクター：兼田美希・木村謙太郎
撮影監督：伊藤哲平
編集：柳 圭介
音楽：堤 博明・照井順政・桶狭間ありさ
音響監督：藤田亜紀子
音響制作：dugout
制作：MAPPA

【CAST】
虎杖悠仁：榎木淳弥
伏黒 恵：内田雄馬
釘崎野薔薇：瀬戸麻沙美
禪院真希：小松未可子
狗巻 棘：内山昂輝
パンダ：関 智一
七海建人：津田健次郎
伊地知潔高：岩田光央
家入硝子：遠藤 綾　
夜蛾正道：黒田崇矢
五条 悟：中村悠一
東堂 葵：木村 昴　
禪院真依：井上麻里奈
三輪 霞：赤﨑千夏
楽巌寺嘉伸：麦人　
吉野順平：山谷祥生
夏油 傑：櫻井孝宏
漏瑚：千葉 繁
花御：田中敦子
真人：島﨑信長
両面宿儺：諏訪部順一

jujutsukaisen.jp
©芥見下々／集英社・呪術廻戦製作委員会",2020-10-02T16:45:06Z,TOHO animation チャンネル,75659244
6TolbTZXDjI,TVアニメ「進撃の巨人」The Final Season Part 1ノンクレジットOP｜神聖かまってちゃん「僕の戦争」,"TVアニメ「進撃の巨人」The Final Seasonノンクレジットオープニング映像を特別公開！

神聖かまってちゃん「僕の戦争」
作詞・作曲：の子　
編曲：海野恵

楽曲配信中！
https://lnk.to/BokunoSensou
https://lnk.to/BokunoSensou_TVSize


■放送情報
TVアニメ「進撃の巨人」The Final Season
NHK総合にて、毎週日曜24:10～放送中！

■スタッフ
原作　諫山 創（別冊少年マガジン連載／講談社）
監督：林祐一郎
シリーズ構成：瀬古浩司
キャラクターデザイン：岸 友洋
総作画監督：新沼大祐
演出チーフ：宍戸淳
エフェクト作画監督：酒井智史 古俣太一
色彩設計：末永絢子
美術監督：小倉一男
画面設計：淡輪雄介
3DCG監督：上薗隆浩
撮影監督：浅川茂輝
編集：吉武将人
音響監督：三間雅文
音楽：澤野弘之/KOHTA YAMAMOTO
音響効果：山谷尚人（サウンドボックス）
音響制作：テクノサウンド
アニメーションプロデューサー：松永理人
制作：MAPPA

■キャスト
エレン・イェーガー：梶 裕貴
ミカサ・アッカーマン：石川由依
アルミン・アルレルト：井上麻里奈
コニー・スプリンガー：下野 紘
サシャ・ブラウス：小林ゆう　
ヒストリア・レイス：三上枝織
ジャン・キルシュタイン：谷山紀章
ライナー・ブラウン：細谷佳正
ハンジ・ゾエ：朴 璐美
リヴァイ：神谷浩史
ジーク：子安武人
ファルコ・グライス：花江夏樹
ガビ・ブラウン：佐倉綾音
ピーク：沼倉愛美
ポルコ・ガリアード：増田俊樹
ウド：村瀬歩
ゾフィア：川島悠美
コルト・グライス：松風雅也

■配信情報
dTV
12月7日（月）12:00（正午）より配信開始
dアニメストア
12月7日（月）12:00（正午）より配信開始
GYAO!
12月7日（月）12:00（正午）より配信開始
Netflix
12月7日（月）より配信開始
TELASA
12月7日（月）12:00（正午）より配信開始
ひかりTV
12月7日（月）12:00（正午）より配信開始
U-NEXT
12月7日（月）12:00（正午）より配信開始
Amazon Prime Video
12月7日（月）12:00（正午）より配信開始

The Final Season公式サイト：https://shingeki.tv/final/
公式Twitter：@anime_shingeki

©諫山創・講談社／「進撃の巨人」The Final Season製作委員会",2020-12-06T15:39:34Z,ぽにきゃん-Anime PONY CANYON,72393423
bgo9dJB_icw,TVアニメ「BEASTARS」ノンクレジット OP,"「マンガ大賞２０１８」第１位にはじまり、主要マンガ賞4冠。数々の賞を総なめにしてきた本作が、「宝石の国」のオレンジによる日本最高峰の技術でアニメ化決定！新才能が紡ぐ、差別、愛、弱さ、希望…珠玉の動物版ヒューマンドラマがいよいよアニメーションで描かれます！ 

東京 渋谷出身の多国籍HIP-HOP/FUNK BAND”ALI”が歌う、ノンクレジットのOP映像を公開！

TVアニメ「BEASTARS」オープニングテーマ
「Wild Side」
アーティスト：ALI

「Wild Side」Anime Ver先行配信中！
配信サービスはこちら！
https://lnk.to/NFlpy

TVアニメ「BEASTARS」
フジテレビ「+Ultra」にて毎週水曜日24時55分から放送中！ 
NETFLIXにて毎週木曜日配信！（日本先行）

その他各局でも放送！
関西テレビ：25:55〜26:25　
東海テレビ：25:55〜26:25
テレビ西日本：25:55～26:25
北海道文化放送：25:15～25:45
 BSフジ：24:00～24:30

放送は予告なく変更になる可能性がございます。
放送情報の詳細は各局HPをご確認下さい。

監督　松見真一
脚本　樋口七海 キャラクターデザイン　大津直　CGチーフディレクター　井野元英二
美術監督　春日美波　色彩設計　橋本賢　撮影監督　古性史織　蔡伯崙　編集　植松淳一　音楽　神前暁（MONACA）
制作　オレンジ

小林親弘　千本木彩花　小野友樹　種﨑敦美
榎木淳弥　内田雄馬　大塚剛央　小林直人　下妻由幸
岡本信彦　落合福嗣　虎島貴明　渡部紗弓　室元気　井口祐一
原優子　兼政郁人　大内茜　山村響　あんどうさくら
大塚明夫　星野充昭　堀内賢雄

オープニングテーマ　ALI 「Wild Side」（Alien Liberty International）
エンディングテーマ　YURiKA 「Le zoo」（TOHO animation RECORDS）

公式HP　bst-anime.com
公式twitter　@bst_anime

©板垣巴留（秋田書店）／BEASTARS製作委員会",2019-10-16T16:30:02Z,TOHO animation チャンネル,70637068
