ランク,チャンネル名,動画数,合計再生回数,平均再生回数
1,『BLEACH』アニメ公式チャンネル,2,2731591,1365795.5
2,KADOKAWAanime,12,2313408,192784.0
3,TOHO animation チャンネル,7,1345184,192169.14285714287
4,アニプレックス チャンネル,4,1325638,331409.5
5,Asmik Ace,2,739649,369824.5
6,魔法少女リリカルなのは YouTube OFFICIAL CHANNEL,2,601384,300692.0
7,東宝MOVIEチャンネル,1,595153,595153.0
8,Netflix Japan,1,555561,555561.0
9,NBCUniversal Anime/Music,8,549697,68712.125
10,【アニメ】名探偵コナン公式,1,405047,405047.0
11,VAP Official,4,392952,98238.0
12,FRONTIERWORKS,2,344920,172460.0
13,SHOCHIKU animeチャンネル【公式】,5,317685,63537.0
14,Netflix Anime,1,267004,267004.0
15,京アニチャンネル,7,235267,33609.57142857143
16,バンドリちゃんねる☆,2,184716,92358.0
17,ぽにきゃん-Anime PONY CANYON,2,149725,74862.5
18,【ytv animation】読売テレビ アニメ公式,2,134283,67141.5
19,GOOD SMILE CHANNEL,2,132725,66362.5
20,avex pictures,2,112921,56460.5
21,【公式】石森プロ,2,106902,53451.0
22,GREE Entertainment ANIME & GAME【公式】,2,69644,34822.0
23,MBS animation 公式チャンネル,1,55769,55769.0
24,【フジテレビ】アニメ公式チャンネル,1,47040,47040.0
25,【公式】アース・スター エンターテイメント,2,44155,22077.5
26,ベイチューブ | BEYBLADE Channel,1,42815,42815.0
27,Project ANIMA チャンネル,2,19607,9803.5
28,宝島社公式,1,18823,18823.0
29,アニメ『神の雫』official YouTube channel,1,12073,12073.0
